FID,OBJECTID,BdType,BdVal,PctNum,Supervisor,Legislativ,Congressio,CollegeDis,JusticePre,PollingPla,BdName,GlobalID,WestMecDis,EvitDistri,SHAPE_STAr,SHAPE_STLe
1,725,P,0468,468,2,25,5,2,4,0,PAINTED MOUNTAIN,{DBEA1B42-662F-4EC3-AF78-E36F3B891F4C},0,0,38565431.243,26256.8290851
2,726,P,0024,24,2,25,5,2,4,0,APACHE WELLS,{08F4244B-55E1-4342-A9E4-FEC580E5C243},0,0,83475325.2209,42196.9291627
3,727,P,0154,154,1,18,9,1,16,0,CRISMON,{A7A06D54-31AE-4D69-83A3-CE28054EADEF},0,0,31736569.3211,27080.9463837
4,728,P,0743,743,1,18,9,1,10,0,WOODGLEN,{3FCDBE4B-F457-44C5-96E9-98CDEF860C8B},0,0,51667898.9171,36298.5798924
5,729,P,0708,708,1,18,9,1,16,0,WATER WORKS,{0F649747-3043-47D4-8D6B-0D2EDD0733FA},0,0,22033546.3616,31939.8680738
6,730,P,0194,194,1,18,9,1,16,0,DOBSON RANCH,{823CA0B5-E72F-4F8E-9C9A-BA400EF935AF},0,0,40109330.4229,30633.5268449
7,731,P,0239,239,2,23,6,2,15,0,FOUNTAIN HILLS,{96566AAC-290A-4899-975A-6F8AE40B703E},0,0,52799878.8154,43926.1064944
8,732,P,0240,240,2,23,6,2,15,0,FOUR PEAKS,{ACAA0B55-C2A9-4CD7-8AE5-8C9C518AC07A},0,0,103678904.994,46230.6044554
9,733,P,0470,470,2,23,6,2,15,0,PALISADES,{56A85E18-1F26-4A66-B766-31E4F8070F20},0,0,83463293.1791,43413.1254746
10,734,P,0416,416,1,12,5,1,16,0,MEGAN,{E0965E68-E4ED-4D95-914B-6C68E8D1B11B},0,0,83815045.1343,43510.9425564
11,735,P,0535,535,2,12,5,2,16,0,RIATA,{47E34C43-8EDA-43A1-A3AF-1A3AEB37D9EE},0,0,24996876.3721,25289.7650221
